iter	Logloss
0	0.6874739077
1	0.6816617615
2	0.676727059
3	0.6720791604
4	0.6668234645
5	0.6609256411
6	0.6556134543
7	0.6504683802
8	0.6453971394
9	0.641624645
10	0.6374144665
11	0.6332964541
12	0.6289249925
13	0.625157799
14	0.6212195603
15	0.6168410333
16	0.6124293972
17	0.6091789191
18	0.6060762746
19	0.6036143951
20	0.5993772436
21	0.5962549035
22	0.5927707765
23	0.5896205505
24	0.5862578394
25	0.5832988291
26	0.5800245516
27	0.5766134998
28	0.5732426147
29	0.5702581491
30	0.5670847697
31	0.563624864
32	0.5610116537
33	0.5585682579
34	0.5559913349
35	0.5530769142
36	0.5506261488
37	0.5485101881
38	0.5461404578
39	0.543260783
40	0.5413893261
41	0.5389065417
42	0.536950916
43	0.5349504117
44	0.5330315568
45	0.5305335873
46	0.5286352973
47	0.5266935824
48	0.5249186776
49	0.5229749194
50	0.5209197727
51	0.5189928838
52	0.5175802812
53	0.5157234591
54	0.5148089742
55	0.5127945246
56	0.5105281121
57	0.5093264243
58	0.5072006748
59	0.5053818217
60	0.5041853868
61	0.5026014336
62	0.5014039661
63	0.4998973259
64	0.4985058975
65	0.4968037526
66	0.4959711359
67	0.4945242162
68	0.4929405128
69	0.4914368336
70	0.4904200266
71	0.4886859406
72	0.4874400408
73	0.4860335167
74	0.4847749249
75	0.483761763
76	0.4827642642
77	0.4816508692
78	0.4804989707
79	0.4792695659
80	0.478376355
81	0.4772929282
82	0.4766796904
83	0.4755537833
84	0.4745476663
85	0.4741172644
86	0.4731451085
87	0.4725158553
88	0.4719429583
89	0.4709095948
90	0.4700745646
91	0.4692568625
92	0.4681658778
93	0.467106778
94	0.4662643265
95	0.4656999676
96	0.464716626
97	0.4640467644
98	0.4631205531
99	0.4624747181
100	0.4615508953
101	0.4605270714
102	0.460034969
103	0.4593478596
104	0.4583824406
105	0.4578746551
106	0.4571605901
107	0.4562874593
108	0.4555917746
109	0.4553498696
110	0.4546916369
111	0.4540612116
112	0.4535268877
113	0.4527720358
114	0.452235064
115	0.4513399697
116	0.4511312487
117	0.4503028907
118	0.4497502552
119	0.4492484204
120	0.448946204
121	0.4484412738
122	0.4478940553
123	0.4475930947
124	0.4470793616
125	0.4466749279
126	0.4462599623
127	0.4456491847
128	0.4453873114
129	0.4451231921
130	0.4447935229
131	0.4442659978
132	0.443787916
133	0.4431496199
134	0.4427344454
135	0.4419949827
136	0.4414991033
137	0.4408527491
138	0.4400667089
139	0.4394878748
140	0.4391450728
141	0.4389011224
142	0.4386110413
143	0.4380912023
144	0.4378024375
145	0.4375590384
146	0.4370240926
147	0.4365138348
148	0.4361485744
149	0.4358577934
150	0.4350709696
151	0.4348323693
152	0.4342574864
153	0.4340913479
154	0.433570621
155	0.4331549034
156	0.432797316
157	0.4324771808
158	0.4323333872
159	0.4320381397
160	0.4315540764
161	0.4312619319
162	0.4309349274
163	0.430304616
164	0.4297602828
165	0.4293963758
166	0.429113969
167	0.4286766154
168	0.4283629391
169	0.4282364816
170	0.4279064491
171	0.4275709835
172	0.4270675408
173	0.4268945795
174	0.4266801245
175	0.4262880437
176	0.4259904144
177	0.4258032214
178	0.425503317
179	0.4252081841
180	0.4248507366
181	0.424632136
182	0.4240750471
183	0.4237826641
184	0.423494148
185	0.4233917234
186	0.4230935475
187	0.4228449996
188	0.4226096911
189	0.4225260238
190	0.4222449637
191	0.4220379489
192	0.4217827828
193	0.4214746928
194	0.4213864945
195	0.4213138006
196	0.4211172159
197	0.42104143
198	0.4207016428
199	0.4206686022
