iter	Passed	Remaining
0	218	218077
1	225	112623
2	233	77507
3	238	59339
4	245	48925
5	253	42003
6	261	37121
7	269	33412
8	276	30499
9	285	28241
10	293	26370
11	299	24681
12	307	23341
13	314	22122
14	322	21153
15	328	20221
16	335	19413
17	340	18591
18	346	17896
19	353	17324
20	361	16844
21	369	16415
22	374	15906
23	381	15524
24	388	15150
25	396	14836
26	403	14540
27	411	14288
28	419	14057
29	427	13815
30	435	13601
31	441	13363
32	448	13134
33	455	12932
34	462	12756
35	469	12576
36	477	12417
37	485	12280
38	492	12129
39	499	11980
40	506	11840
41	513	11710
42	520	11576
43	527	11456
44	535	11356
45	542	11259
46	550	11159
47	558	11074
48	565	10979
49	572	10882
50	580	10806
51	587	10703
52	594	10614
53	601	10531
54	603	10370
55	610	10285
56	616	10203
57	620	10070
58	627	10006
59	634	9940
60	642	9891
61	649	9829
62	657	9785
63	665	9726
64	671	9660
65	679	9610
66	686	9564
67	693	9506
68	700	9457
69	708	9413
70	715	9361
71	723	9320
72	730	9280
73	738	9237
74	745	9196
75	751	9142
76	758	9095
77	766	9062
78	773	9017
79	781	8981
80	787	8937
81	795	8909
82	799	8834
83	807	8802
84	814	8771
85	818	8694
86	825	8663
87	833	8637
88	839	8589
89	845	8553
90	853	8523
91	860	8496
92	868	8469
93	876	8444
94	884	8422
95	888	8367
96	895	8338
97	903	8313
98	910	8285
99	916	8251
100	923	8223
101	931	8198
102	938	8176
103	945	8148
104	952	8118
105	960	8102
106	967	8075
107	974	8050
108	982	8030
109	986	7982
110	994	7964
111	1001	7937
112	1009	7925
113	1017	7908
114	1025	7888
115	1032	7868
116	1036	7824
117	1044	7808
118	1052	7791
119	1060	7777
120	1067	7753
121	1074	7729
122	1080	7707
123	1088	7688
124	1096	7672
125	1102	7648
126	1110	7635
127	1118	7617
128	1125	7602
129	1130	7566
130	1138	7554
131	1147	7544
132	1155	7532
133	1163	7518
134	1171	7506
135	1179	7491
136	1187	7479
137	1194	7462
138	1201	7445
139	1209	7432
140	1217	7416
141	1225	7403
142	1232	7388
143	1240	7371
144	1247	7355
145	1254	7340
146	1262	7324
147	1270	7314
148	1276	7291
149	1284	7281
150	1292	7267
151	1298	7244
152	1306	7230
153	1313	7217
154	1320	7200
155	1328	7187
156	1335	7171
157	1342	7156
158	1351	7146
159	1357	7127
160	1365	7113
161	1371	7095
162	1379	7085
163	1386	7069
164	1394	7056
165	1402	7044
166	1408	7027
167	1416	7014
168	1423	7000
169	1431	6990
170	1438	6974
171	1447	6967
172	1454	6951
173	1461	6940
174	1469	6929
175	1477	6916
176	1484	6904
177	1490	6882
178	1498	6871
179	1505	6858
180	1513	6847
181	1521	6837
182	1529	6829
183	1537	6816
184	1544	6803
185	1551	6787
186	1558	6775
187	1564	6758
188	1572	6748
189	1579	6732
190	1587	6723
191	1594	6711
192	1602	6699
193	1609	6688
194	1618	6680
195	1625	6669
196	1633	6657
197	1637	6633
198	1645	6624
199	1649	6599
200	1656	6585
201	1664	6574
202	1671	6564
203	1679	6553
204	1686	6541
205	1694	6530
206	1701	6519
207	1708	6505
208	1715	6493
209	1722	6479
210	1729	6467
211	1737	6457
212	1745	6449
213	1752	6436
214	1760	6426
215	1767	6415
216	1775	6406
217	1782	6393
218	1789	6383
219	1797	6371
220	1803	6357
221	1811	6348
222	1818	6335
223	1825	6325
224	1834	6318
225	1842	6309
226	1849	6296
227	1856	6284
228	1863	6273
229	1871	6264
230	1878	6252
231	1884	6239
232	1889	6220
233	1896	6208
234	1904	6199
235	1912	6190
236	1919	6180
237	1927	6171
238	1935	6162
239	1943	6153
240	1949	6140
241	1955	6126
242	1963	6117
243	1970	6104
244	1977	6093
245	1984	6083
246	1992	6074
247	1999	6061
248	2005	6048
249	2011	6034
250	2019	6025
251	2026	6015
252	2034	6005
253	2040	5993
254	2047	5982
255	2054	5970
256	2061	5959
257	2068	5948
258	2075	5939
259	2082	5928
260	2090	5919
261	2097	5909
262	2105	5900
263	2111	5887
264	2118	5876
265	2127	5869
266	2135	5862
267	2142	5852
268	2149	5840
269	2155	5827
270	2162	5816
271	2169	5807
272	2177	5798
273	2184	5789
274	2191	5778
275	2198	5766
276	2205	5756
277	2212	5744
278	2218	5733
279	2225	5721
280	2231	5710
281	2238	5699
282	2245	5688
283	2251	5677
284	2259	5667
285	2262	5649
286	2269	5638
287	2277	5629
288	2284	5619
289	2291	5610
290	2299	5602
291	2305	5591
292	2312	5579
293	2319	5569
294	2325	5558
295	2332	5547
296	2339	5536
297	2346	5527
298	2351	5513
299	2358	5503
300	2365	5493
301	2369	5476
302	2376	5466
303	2383	5456
304	2389	5445
305	2396	5434
306	2403	5425
307	2409	5414
308	2416	5404
309	2423	5393
310	2429	5382
311	2437	5374
312	2443	5364
313	2450	5353
314	2456	5342
315	2463	5331
316	2469	5321
317	2477	5313
318	2484	5304
319	2491	5294
320	2498	5284
321	2506	5276
322	2510	5261
323	2517	5253
324	2525	5244
325	2532	5236
326	2540	5228
327	2546	5217
328	2553	5208
329	2561	5199
330	2568	5190
331	2575	5181
332	2582	5172
333	2589	5164
334	2596	5153
335	2603	5144
336	2608	5131
337	2616	5123
338	2622	5114
339	2630	5105
340	2637	5097
341	2645	5090
342	2651	5079
343	2658	5070
344	2666	5062
345	2673	5052
346	2680	5043
347	2687	5034
348	2694	5026
349	2698	5010
350	2704	5000
351	2711	4991
352	2717	4980
353	2724	4971
354	2730	4961
355	2737	4951
356	2744	4942
357	2751	4934
358	2759	4926
359	2766	4918
360	2773	4908
361	2780	4899
362	2785	4887
363	2792	4879
364	2799	4870
365	2806	4861
366	2812	4851
367	2819	4842
368	2825	4832
369	2832	4823
370	2835	4808
371	2842	4799
372	2850	4790
373	2856	4781
374	2863	4772
375	2870	4764
376	2878	4756
377	2886	4749
378	2892	4739
379	2899	4731
380	2906	4721
381	2913	4713
382	2920	4705
383	2928	4697
384	2934	4687
385	2940	4677
386	2947	4668
387	2954	4660
388	2961	4651
389	2968	4643
390	2975	4633
391	2981	4624
392	2989	4616
393	2996	4608
394	3004	4601
395	3011	4592
396	3018	4584
397	3025	4576
398	3032	4567
399	3038	4558
400	3045	4549
401	3052	4540
402	3059	4531
403	3065	4523
404	3073	4515
405	3081	4507
406	3088	4499
407	3096	4492
408	3103	4484
409	3110	4476
410	3117	4467
