iter	Passed	Remaining
0	2	2804
1	5	2667
2	7	2632
3	9	2375
4	12	2404
5	14	2425
6	17	2446
7	19	2456
8	22	2462
9	24	2461
10	27	2468
11	29	2422
12	31	2428
13	33	2390
14	36	2394
15	39	2399
16	41	2407
17	43	2356
18	45	2333
19	47	2310
20	49	2315
21	52	2320
22	54	2301
23	56	2306
24	59	2310
25	61	2311
26	64	2312
27	66	2315
28	69	2317
29	71	2321
30	74	2322
31	76	2322
32	79	2324
33	81	2323
34	84	2322
35	86	2325
36	89	2336
37	92	2342
38	95	2342
39	97	2342
40	100	2352
41	103	2363
42	106	2374
43	110	2393
44	112	2394
45	115	2403
46	118	2412
47	121	2410
48	124	2408
49	126	2406
50	129	2404
51	132	2419
52	135	2422
53	138	2418
54	138	2388
55	141	2386
56	144	2382
57	145	2358
58	148	2368
59	151	2372
60	153	2369
61	156	2366
62	158	2362
63	161	2359
64	164	2368
65	167	2369
66	169	2367
67	172	2365
68	175	2361
69	177	2359
70	181	2369
71	183	2370
72	186	2367
73	188	2364
74	191	2361
75	193	2352
76	197	2361
77	199	2360
78	202	2358
79	204	2355
80	207	2352
81	209	2348
82	211	2335
83	214	2340
84	217	2338
85	218	2319
86	220	2316
87	223	2317
88	225	2305
89	228	2313
90	231	2313
91	234	2310
92	236	2308
93	239	2306
94	241	2304
95	244	2297
96	247	2299
97	249	2296
98	252	2294
99	254	2290
100	257	2288
101	260	2291
102	263	2293
103	265	2290
104	268	2287
105	270	2285
106	273	2282
107	276	2287
108	279	2287
109	281	2274
110	283	2272
111	285	2265
112	288	2262
113	291	2261
114	294	2266
115	297	2264
116	298	2252
117	300	2249
118	303	2247
119	306	2245
120	309	2248
121	312	2246
122	314	2243
123	317	2240
124	319	2238
125	321	2231
126	324	2229
127	326	2226
128	329	2223
129	330	2212
130	333	2210
131	336	2211
132	338	2209
133	342	2210
134	344	2208
135	347	2206
136	349	2203
137	352	2201
138	354	2198
139	358	2200
140	361	2204
141	364	2202
142	367	2199
143	369	2196
144	372	2198
145	376	2204
146	379	2202
147	382	2199
148	384	2193
149	386	2192
150	390	2193
151	393	2192
152	395	2191
153	398	2188
154	400	2185
155	404	2188
156	407	2189
157	410	2189
158	413	2186
159	415	2183
160	418	2180
161	422	2183
162	425	2185
163	428	2182
164	430	2179
165	433	2177
166	436	2178
167	439	2178
168	443	2179
169	445	2176
170	448	2174
171	451	2172
172	454	2172
173	457	2173
174	460	2169
175	463	2170
176	466	2166
177	468	2165
178	472	2165
179	474	2163
180	477	2160
181	479	2157
182	482	2154
183	485	2153
184	489	2154
185	491	2151
186	494	2148
187	496	2144
188	499	2143
189	502	2140
190	504	2137
191	507	2133
192	509	2130
193	512	2127
194	514	2124
195	517	2120
196	519	2117
197	520	2109
198	523	2106
199	524	2097
200	526	2094
201	529	2091
202	531	2088
203	534	2085
204	536	2082
205	539	2079
206	541	2076
207	544	2073
208	546	2070
209	549	2067
210	552	2064
211	554	2061
212	556	2057
213	559	2054
214	561	2051
215	564	2048
216	566	2045
217	569	2042
218	571	2039
219	574	2036
220	576	2033
221	579	2031
222	582	2028
223	584	2025
224	587	2022
225	589	2019
226	592	2016
227	594	2013
228	597	2010
229	599	2007
230	602	2004
231	604	2001
232	605	1994
233	608	1992
234	611	1989
235	613	1985
236	615	1983
237	618	1980
238	621	1977
239	623	1974
240	626	1971
241	628	1967
242	630	1964
243	632	1959
244	634	1956
245	637	1953
246	639	1950
247	642	1948
248	644	1945
249	646	1939
250	649	1936
251	651	1934
252	654	1931
253	656	1928
254	659	1925
255	661	1923
256	664	1920
257	666	1917
258	669	1914
259	671	1911
260	674	1908
261	676	1906
262	679	1903
263	681	1900
264	684	1897
265	686	1894
266	689	1892
267	691	1889
268	694	1886
269	696	1882
270	698	1879
271	701	1876
272	703	1873
273	706	1870
274	708	1868
275	711	1865
276	713	1862
277	716	1860
278	718	1857
279	721	1854
280	723	1851
281	726	1849
282	728	1846
283	731	1843
284	733	1840
285	735	1835
286	737	1832
287	740	1829
288	742	1827
289	745	1824
290	747	1821
291	750	1818
292	752	1816
293	755	1813
294	757	1810
295	760	1808
296	762	1805
297	765	1802
298	766	1797
299	769	1795
300	771	1792
301	773	1786
302	775	1783
303	778	1781
304	780	1778
305	782	1775
306	785	1772
307	787	1769
308	790	1767
309	792	1764
310	795	1761
311	797	1759
312	800	1756
313	802	1753
314	805	1750
315	807	1748
316	810	1745
317	812	1742
318	815	1740
319	817	1737
320	820	1734
321	822	1732
322	823	1726
323	826	1724
324	828	1721
325	831	1718
326	833	1715
327	836	1713
328	838	1710
329	841	1708
330	844	1706
331	846	1704
332	849	1701
333	851	1698
334	854	1696
335	856	1693
336	858	1689
337	861	1687
338	863	1684
339	866	1681
340	868	1679
341	871	1677
342	874	1675
343	877	1674
344	881	1672
345	883	1670
346	886	1668
347	889	1667
348	892	1665
349	894	1661
350	897	1659
351	900	1657
352	903	1655
353	905	1652
354	908	1650
355	910	1647
356	913	1645
357	916	1643
358	919	1641
359	922	1640
360	925	1638
361	928	1636
362	930	1633
363	933	1631
364	936	1628
365	938	1626
366	941	1623
367	943	1620
368	946	1618
369	948	1615
370	949	1610
371	952	1607
372	954	1604
373	957	1602
374	959	1599
375	962	1596
376	964	1594
377	967	1591
378	969	1588
379	972	1585
380	974	1583
381	976	1580
382	979	1577
383	981	1575
384	984	1572
385	986	1569
386	989	1567
387	991	1564
388	994	1561
389	996	1558
390	999	1556
391	1001	1553
392	1004	1550
393	1006	1548
394	1009	1545
395	1011	1542
396	1013	1540
397	1016	1537
398	1018	1534
399	1020	1531
400	1023	1528
401	1025	1525
402	1028	1523
403	1030	1520
404	1033	1517
405	1035	1515
406	1038	1512
407	1040	1509
408	1043	1507
409	1045	1504
410	1047	1501
411	1050	1499
412	1052	1496
413	1055	1493
414	1057	1491
415	1060	1488
416	1062	1485
417	1065	1483
418	1067	1480
419	1070	1478
420	1072	1475
421	1075	1472
422	1077	1470
423	1080	1467
424	1082	1464
425	1085	1462
426	1087	1459
427	1090	1457
428	1092	1454
429	1095	1451
430	1097	1449
431	1100	1446
432	1102	1443
433	1105	1441
434	1107	1438
435	1110	1436
436	1112	1433
437	1115	1430
438	1117	1428
439	1120	1425
440	1122	1422
441	1124	1420
442	1127	1417
443	1130	1415
444	1132	1412
445	1135	1409
446	1137	1407
447	1140	1404
448	1142	1402
449	1145	1399
450	1147	1397
451	1150	1394
452	1152	1391
453	1155	1389
454	1157	1386
455	1160	1384
456	1162	1381
457	1165	1378
458	1167	1376
459	1170	1373
460	1172	1371
461	1176	1369
462	1180	1369
463	1185	1369
464	1189	1368
465	1193	1367
466	1196	1366
467	1200	1365
468	1204	1363
469	1207	1361
470	1211	1360
471	1214	1358
472	1217	1356
473	1219	1353
474	1222	1351
475	1225	1349
476	1229	1347
477	1231	1344
478	1234	1342
479	1237	1340
480	1240	1338
481	1243	1336
482	1246	1334
483	1249	1331
484	1251	1329
485	1254	1326
486	1257	1324
487	1259	1321
488	1262	1318
489	1264	1316
490	1267	1313
491	1269	1310
492	1271	1307
493	1275	1306
494	1279	1305
495	1283	1304
496	1287	1302
497	1291	1301
498	1294	1299
499	1297	1297
500	1299	1294
501	1302	1292
502	1305	1290
503	1308	1288
504	1311	1285
505	1313	1282
506	1315	1279
507	1318	1276
508	1320	1273
509	1323	1272
510	1326	1269
511	1328	1266
512	1331	1264
513	1334	1261
514	1337	1259
515	1340	1257
516	1342	1254
517	1345	1251
518	1347	1249
519	1350	1246
520	1353	1244
521	1355	1241
522	1358	1238
523	1360	1236
524	1363	1233
525	1365	1230
526	1368	1228
527	1371	1226
528	1374	1223
529	1376	1220
530	1378	1217
531	1381	1214
532	1383	1212
533	1386	1210
534	1389	1207
535	1392	1205
536	1394	1202
537	1397	1199
538	1399	1197
539	1403	1195
540	1406	1192
541	1408	1189
542	1410	1187
543	1412	1184
544	1415	1181
545	1418	1179
546	1422	1177
547	1424	1174
548	1426	1172
549	1429	1169
550	1431	1166
551	1435	1165
552	1438	1162
553	1440	1159
554	1443	1157
555	1445	1154
556	1448	1151
557	1451	1149
558	1454	1147
559	1456	1144
560	1459	1142
561	1462	1139
562	1464	1136
563	1468	1134
564	1470	1132
565	1473	1129
566	1475	1126
567	1478	1124
568	1480	1121
569	1483	1119
570	1486	1116
571	1488	1114
572	1490	1110
573	1493	1108
574	1495	1105
575	1498	1103
576	1500	1100
577	1503	1097
578	1505	1094
579	1508	1092
580	1510	1089
581	1513	1086
582	1515	1084
583	1517	1081
584	1519	1078
585	1522	1075
586	1524	1072
587	1527	1070
588	1529	1067
589	1532	1064
590	1534	1061
591	1536	1059
592	1539	1056
593	1542	1054
594	1544	1051
595	1547	1048
596	1549	1046
597	1552	1043
598	1554	1040
599	1557	1038
600	1559	1035
601	1562	1032
602	1564	1030
603	1567	1027
604	1569	1024
605	1571	1022
606	1574	1019
607	1576	1016
608	1579	1014
609	1581	1011
610	1584	1008
611	1586	1006
612	1589	1003
613	1591	1000
614	1594	998
615	1596	995
616	1599	992
617	1601	990
618	1604	987
619	1606	984
620	1609	982
621	1611	979
622	1614	976
623	1616	974
624	1619	971
625	1621	968
626	1624	966
627	1626	963
628	1629	960
629	1631	958
